#n,,,,,,,
384,,,,,,,
#no,x(m),y(m),z(m),nx,ny,nz,area(m2)
275,-0.026626,0.118776,-0.001214,0,0,1,3.14E-06
276,0.004727,0.119034,-0.001271,0,0,1,3.14E-06
277,-0.051257,0.119117,-0.00263,0,0,1,3.14E-06
278,-0.014098,0.119214,-0.001398,0,0,1,3.14E-06
279,0.018422,0.119321,-0.003237,0,0,1,3.14E-06
280,0.043564,0.119341,-0.001036,0,0,1,3.14E-06
281,-0.046825,0.119492,-0.001372,0,0,1,3.14E-06
282,0.025225,0.119949,-0.002623,0,0,1,3.14E-06
283,0.036567,0.120236,-0.000902,0,0,1,3.14E-06
284,0.014209,0.120396,-0.001995,0,0,1,3.14E-06
285,-0.05689,0.120484,-0.001632,0,0,1,3.14E-06
286,0.041105,0.122809,-0.001313,0,0,1,3.14E-06
287,-0.018163,0.122999,-0.002419,0,0,1,3.14E-06
288,-0.051721,0.123359,-0.001343,0,0,1,3.14E-06
289,0.027976,0.123412,-0.001364,0,0,1,3.14E-06
290,0.004323,0.123427,-0.001588,0,0,1,3.14E-06
291,0.018136,0.124108,-0.002577,0,0,1,3.14E-06
292,0.022584,0.124531,-0.002764,0,0,1,3.14E-06
293,-0.023756,0.124896,-0.002243,0,0,1,3.14E-06
294,-0.001756,0.12494,-0.001263,0,0,1,3.14E-06
295,-0.013229,0.125791,-0.00162,0,0,1,3.14E-06
296,0.006807,0.127138,-0.001388,0,0,1,3.14E-06
297,0.040619,0.127206,-0.001193,0,0,1,3.14E-06
298,-0.019343,0.127615,-0.002652,0,0,1,3.14E-06
299,0.026238,0.127785,-0.001996,0,0,1,3.14E-06
300,0.044907,0.127829,-0.0009,0,0,1,3.14E-06
301,0.016537,0.128135,-0.001451,0,0,1,3.14E-06
302,0.001045,0.128622,-0.00203,0,0,1,3.14E-06
303,-0.023254,0.129789,-0.00237,0,0,1,3.14E-06
304,0.042225,0.131151,-0.001446,0,0,1,3.14E-06
305,-0.011765,0.131356,-0.001498,0,0,1,3.14E-06
306,-0.002634,0.13154,-0.00136,0,0,1,3.14E-06
307,0.020191,0.131623,-0.002323,0,0,1,3.14E-06
308,0.003303,0.132426,-0.002111,0,0,1,3.14E-06
309,0.008068,0.13282,-0.001443,0,0,1,3.14E-06
310,-0.019346,0.132961,-0.002799,0,0,1,3.14E-06
311,0.024557,0.133014,-0.002441,0,0,1,3.14E-06
312,-0.025544,0.133399,-0.001645,0,0,1,3.14E-06
313,0.028659,0.135106,-0.001488,0,0,1,3.14E-06
314,0.044101,0.135515,-0.001442,0,0,1,3.14E-06
315,-0.000774,0.135802,-0.001536,0,0,1,3.14E-06
316,-0.011291,0.136249,-0.001498,0,0,1,3.14E-06
317,0.039832,0.136823,-0.001149,0,0,1,3.14E-06
318,0.007092,0.137164,-0.001569,0,0,1,3.14E-06
319,-0.025174,0.13782,-0.001702,0,0,1,3.14E-06
320,0.024739,0.137918,-0.002645,0,0,1,3.14E-06
321,-0.015814,0.13818,-0.002775,0,0,1,3.14E-06
322,-0.020782,0.139202,-0.002894,0,0,1,3.14E-06
323,0.019485,0.13963,-0.001927,0,0,1,3.14E-06
324,-0.000856,0.140369,-0.00116,0,0,1,3.14E-06
325,0.042959,0.140496,-0.001376,0,0,1,3.14E-06
326,-0.011548,0.140929,-0.001609,0,0,1,3.14E-06
327,0.027449,0.141259,-0.002364,0,0,1,3.14E-06
328,0.004571,0.141357,-0.001628,0,0,1,3.14E-06
329,0.023177,0.142023,-0.002641,0,0,1,3.14E-06
330,-0.024013,0.142266,-0.002074,0,0,1,3.14E-06
331,-0.018637,0.14302,-0.003119,0,0,1,3.14E-06
332,-0.014528,0.144149,-0.00274,0,0,1,3.14E-06
333,0.000744,0.144329,-0.001345,0,0,1,3.14E-06
334,0.02987,0.144791,-0.001611,0,0,1,3.14E-06
335,0.019397,0.144825,-0.001546,0,0,1,3.14E-06
336,0.008121,0.144932,-0.001073,0,0,1,3.14E-06
337,0.025554,0.145856,-0.002759,0,0,1,3.14E-06
338,-0.022442,0.147058,-0.002551,0,0,1,3.14E-06
339,-0.018053,0.147437,-0.003158,0,0,1,3.14E-06
340,0.004705,0.147564,-0.001595,0,0,1,3.14E-06
341,-0.000702,0.148493,-0.000974,0,0,1,3.14E-06
342,0.028691,0.148882,-0.00247,0,0,1,3.14E-06
343,0.023387,0.150185,-0.002843,0,0,1,3.14E-06
344,-0.013424,0.150229,-0.002382,0,0,1,3.14E-06
345,0.001381,0.152331,-0.001443,0,0,1,3.14E-06
346,0.008758,0.152958,-0.001434,0,0,1,3.14E-06
347,0.026624,0.153231,-0.003144,0,0,1,3.14E-06
348,0.020313,0.153235,-0.00191,0,0,1,3.14E-06
349,-0.020735,0.153445,-0.002701,0,0,1,3.14E-06
350,0.030733,0.154359,-0.002288,0,0,1,3.14E-06
351,-0.012166,0.154646,-0.001781,0,0,1,3.14E-06
352,-0.016366,0.155463,-0.002836,0,0,1,3.14E-06
353,0.005841,0.156047,-0.001954,0,0,1,3.14E-06
